000000_RUSLAN|С тревожным чувством берусь я за перо.
000001_RUSLAN|Кого интересуют признания литературного неудачника?
000002_RUSLAN|Что поучительного в его исповеди?
000003_RUSLAN|Да и жизнь моя лишена внешнего трагизма.
000004_RUSLAN|Я абсолютно здоров.
000005_RUSLAN|У меня есть любящая родня.
000006_RUSLAN|Мне всегда готовы предоставить работу, которая обеспечит нормальное биологическое существование.
000007_RUSLAN|Мало того, я обладаю преимуществами.
000008_RUSLAN|Мне без труда удается располагать к себе людей.
000009_RUSLAN|Я совершил десятки поступков, уголовно наказуемых и оставшихся безнаказанными.
000010_RUSLAN|Я дважды был женат, и оба раза счастливо.
000011_RUSLAN|Наконец, у меня есть собака.
000012_RUSLAN|А это уже излишество.
000013_RUSLAN|Тогда почему же я ощущаю себя на грани физической катастрофы?
000014_RUSLAN|Откуда у меня чувство безнадежной жизненной непригодности?
000015_RUSLAN|В чем причина моей тоски?
000016_RUSLAN|Я хочу в этом разобраться.
000017_RUSLAN|Постоянно думаю об этом.
000018_RUSLAN|Мечтаю и надеюсь вызвать признак счастья.
000019_RUSLAN|Мне жаль, что прозвучало это слово.
000020_RUSLAN|Ведь представления, которые оно рождает, безграничны до нуля.
000021_RUSLAN|Я знал человека, всерьез утверждавшего, что он будет абсолютно счастлив, если жилконтора заменит ему фановую трубу.
000022_RUSLAN|Суетное чувство тревожит меня.
000023_RUSLAN|Ага, подумают, возомнил себя непризнанным гением!
000024_RUSLAN|В этом-то и дело, что нет!
000025_RUSLAN|Я выслушал сотни, тысячи откликов на мои рассказы.
000026_RUSLAN|И никогда, ни в единой, самой убогой, самой фантастической петербургской компании меня не объявляли гением.
000027_RUSLAN|Даже когда объявляли таковыми Горецкого и Харитоненко.
000028_RUSLAN|Горецкий автор романа, представляющего собой девять листов засвеченной фотобумаги.
000029_RUSLAN|Главное же действующее лицо наиболее зрелого романа Харитоненко презерватив.
000030_RUSLAN|Тринадцать лет назад я взялся за перо.
000031_RUSLAN|Написал роман, семь повестей и четыреста коротких вещей.
000032_RUSLAN|На ощупь побольше, чем Гоголь!
000033_RUSLAN|Я убежден, что мы с Гоголем обладаем равными авторскими правами.
000034_RUSLAN|Обязанности разные.
000035_RUSLAN|Как минимум, одним неотъемлемым правом.
000036_RUSLAN|Правом обнародовать написанное.
000037_RUSLAN|То есть правом бессмертия или неудачи.
000038_RUSLAN|За что же моя рядовая, честная, единственная склонность подавляется бесчисленными органами, лицами, институтами великого государства??
000039_RUSLAN|Я должен это понять.
000040_RUSLAN|Не буду утруждать себя композицией.
000041_RUSLAN|Сумбурно, длинно и невнятно попытаюсь изложить свою творческую биографию.
000042_RUSLAN|Это будут приключения моих рукописей.
000043_RUSLAN|Портреты знакомых.
000044_RUSLAN|Как же назвать мне все это Досье?
000045_RUSLAN|Записки одного литератора?
000046_RUSLAN|Сочинение на вольную тему?
000047_RUSLAN|Разве это важно?
000048_RUSLAN|Книга-то невидимая.
000049_RUSLAN|За окном ленинградские крыши, антенны, бледное небо.
000050_RUSLAN|Катя готовит уроки, фокстерьер Глафира, похожая на березовую чурочку, сидит у ее ног и думает обо мне.
000051_RUSLAN|А передо мной лист бумаги.
000052_RUSLAN|И я пересекаю эту белую заснеженную равнину один.
000053_RUSLAN|Лист бумаги счастье и проклятие!
000054_RUSLAN|Лист бумаги наказание мое.
000055_RUSLAN|Предисловие, однако, затянулось.
000056_RUSLAN|Начнем хотя бы с этого.
000057_RUSLAN|ПЕРВЫЙ КРИТИК
000058_RUSLAN|До революции Агния Францевна Мау была придворным венерологом.
000059_RUSLAN|Прошло шестьдесят лет.
000060_RUSLAN|Навсегда сохранила Агния Францевна горделивый дворцовый апломб и прямоту клинициста.
000061_RUSLAN|Это Мау сказала нашему квартуполномоченному полковнику Тихомирову, отдавившему лапу ее болонке
000062_RUSLAN|Вы страшное говно, мон колонель, не обессудьте!..
000063_RUSLAN|Тихомиров жил напротив, загнанный в отвратительную коммуналку своим партийным бескорыстием.
000064_RUSLAN|Он добивался власти и ненавидел Мау за ее аристократическое происхождение.
000065_RUSLAN|У самого Тихомирова происхождения не было вообще.
000066_RUSLAN|Его породили директивы.
000067_RUSLAN|грохотал он.
000068_RUSLAN|Какать в одном поле не сяду!..
000069_RUSLAN|Старуха поднимала голову так резко, что взлетал ее крошечный золотой медальон
000070_RUSLAN|Неужели какать рядом с вами такая уж большая честь?!
000071_RUSLAN|Тусклые перья на ее шляпе гневно вздрагивали.
000072_RUSLAN|Для Тихомирова я был чересчур изыскан.
000073_RUSLAN|Для Мау безнадежно вульгарен.
000074_RUSLAN|Но против Агнии Францевны у меня было сильное оружие вежливость.
000075_RUSLAN|А Тихомирова вежливость настораживала.
000076_RUSLAN|Он знал, что вежливость маскирует пороки.
000077_RUSLAN|И вот однажды я беседовал по коммунальному телефону.
000078_RUSLAN|Беседа эта страшно раздражала Тихомирова чрезмерным умственным изобилием.
000079_RUSLAN|Раз десять Тихомиров проследовал узкой коммунальной трассой.
